Station,Date,Time,Tdry_C,Max_Tdry_C,Min_Tdry_C,Rhum_Perc,Dewpoint_C,Rain_mm,WSpd_kmh,Wind_Degrees,Wind_Direction,Max WSpd km/h,Min_WSpd_kmh,Leaf_Wet_Perc,Srad_mJ,Sun_Hours,Eto_mm,Absolute_RH_gm3,Specific_RH_gkg,Battery,Data_type,Site
Shingwedzi,12/3/2020,8:00,22.69,23.2,21.98,72.3,17.45,0,3.24,133,SE,5.65,2.59,0,3.59,1,0.64,14.88,13.86,4.11,Logger,Roan Camp
Shingwedzi,12/3/2020,9:00,23.91,24.46,23.23,67.1,17.43,0,3.56,131,SE,6.37,2.59,0,3.6,1,0.66,14.87,13.87,4.11,Logger,Roan Camp
Shingwedzi,12/3/2020,10:00,25.49,26.5,24.6,60.7,17.34,0,3.96,113,ESE,6.62,2.92,0,3.61,1,0.68,14.78,13.83,4.11,Logger,Roan Camp
Shingwedzi,12/3/2020,11:00,27.37,28.08,26.7,53.2,17,0,3.42,123,ESE,5.8,2.16,0,3.62,1,0.71,14.49,13.6,4.11,Logger,Roan Camp
Shingwedzi,12/3/2020,12:00,28.56,29.02,28.29,48.9,16.77,0,2.66,131,SE,4.9,1.91,0,3.63,1,0.73,14.29,13.43,4.11,Logger,Roan Camp
Shingwedzi,12/3/2020,13:00,28.74,29.01,28.52,47.8,16.57,0,2.3,137,SE,4.46,1.15,0,3.63,1,0.73,14.12,13.27,4.11,Logger,Roan Camp
Shingwedzi,12/3/2020,14:00,29.42,29.71,29.07,46.3,16.69,0,2.84,136,SE,5.8,1.37,0,3.63,1,0.74,14.22,13.39,4.11,Logger,Roan Camp
Shingwedzi,12/3/2020,15:00,29.78,30.22,29.35,45.4,16.71,0,2.95,163,SSE,5.54,1.94,0,3.63,1,0.74,14.23,13.41,4.11,Logger,Roan Camp
Shingwedzi,12/3/2020,16:00,30.15,30.52,29.67,44.5,16.73,0,3.06,101,E,5.72,1.62,0,3.63,1,0.74,14.25,13.44,4.11,Logger,Roan Camp
Shingwedzi,12/3/2020,17:00,29.37,30,29.17,45.9,16.51,0,2.52,131,SE,4.46,1.51,0,3.64,1,0.74,14.07,13.24,4.11,Logger,Roan Camp
Shingwedzi,12/3/2020,18:00,28.75,29.14,28.57,47.1,16.35,0,1.94,121,ESE,4.43,0.79,0,3.64,1,0.73,13.93,13.09,4.11,Logger,Roan Camp
Shingwedzi,12/3/2020,19:00,28.29,28.53,28.04,48.2,16.3,0,1.04,134,SE,2.45,0.5,0,3.65,1,0.73,13.89,13.03,4.1,Logger,Roan Camp
Shingwedzi,12/3/2020,20:00,27.51,27.95,27.28,50.5,16.31,0,0.04,134,SE,0.65,0,0,3.66,1,0.72,13.9,13.03,4.1,Logger,Roan Camp
Shingwedzi,12/3/2020,21:00,26.38,27.22,25.52,53.6,16.21,0,0,134,SE,0,0,0,3.66,1,0.71,13.81,12.92,4.1,Logger,Roan Camp
Shingwedzi,12/3/2020,22:00,24.51,25.35,24,58.4,15.81,0,0,134,SE,0,0,0,3.65,1,0.7,13.49,12.56,4.1,Logger,Roan Camp
Shingwedzi,12/3/2020,23:00,23.2,0,0,62.6,15.67,0,0,134,SE,0,0,0,3.65,1,0.68,13.37,12.42,4.1,Logger,Roan Camp
Letaba,12/7/2020,0:00,21.86,21.93,21.82,87.7,19.73,0,0,99,E,0,0,0,3.9,1,0.73,17.03,15.85,4.14,Logger,Letaba
Letaba,12/7/2020,1:00,21.84,21.9,21.81,88.6,19.87,0,0,99,E,0,0,0,3.9,1,0.73,17.18,15.99,4.14,Logger,Letaba
Letaba,12/7/2020,2:00,21.88,21.92,21.85,88.8,19.95,0,0,99,E,0,0,0,3.9,1,0.73,17.25,16.07,4.14,Logger,Letaba
Letaba,12/7/2020,3:00,21.87,21.9,21.85,88.9,19.96,0,0,99,E,0,0,0,3.9,1,0.73,17.26,16.07,4.14,Logger,Letaba
Letaba,12/7/2020,4:00,21.83,21.87,21.82,88.9,19.92,0,0,99,E,0,0,0,3.9,1,0.73,17.22,16.03,4.14,Logger,Letaba
Letaba,12/7/2020,5:00,21.87,21.92,21.81,88.8,19.94,0,0,99,E,0,0,0,3.9,1,0.73,17.24,16.06,4.14,Logger,Letaba
Letaba,12/7/2020,6:00,22.29,22.56,21.87,87.5,20.11,0,0.29,187,S,1.91,0,0,3.9,1,0.73,17.42,16.24,4.15,Logger,Letaba
Letaba,12/7/2020,7:00,23.09,23.42,22.59,85,20.43,0,0.54,290,WNW,4.1,0,0,3.9,1,0.74,17.75,16.58,4.15,Logger,Letaba
Letaba,12/7/2020,8:00,24.2,24.86,23.54,81.1,20.75,0,1.04,69,ENE,3.56,0,0,3.9,1,0.74,18.08,16.94,4.15,Logger,Letaba
Letaba,12/7/2020,9:00,25.21,25.47,24.93,74.7,20.39,0,0.86,100,E,3.71,0,0,3.9,1,0.76,17.71,16.6,4.15,Logger,Letaba
Letaba,12/7/2020,10:00,26.24,26.99,25.52,70.2,20.38,0,1.15,185,S,5,0,0,3.9,1,0.77,17.69,16.62,4.15,Logger,Letaba
Letaba,12/7/2020,11:00,27.48,27.74,27.02,64.2,20.11,0,1.84,98,E,5.44,0.58,0,3.9,1,0.77,17.42,16.38,4.15,Logger,Letaba
Letaba,12/7/2020,12:00,27.95,28.1,27.86,62.7,20.17,0,0.86,99,E,3.82,0,0,3.9,1,0.78,17.48,16.46,4.15,Logger,Letaba
Letaba,12/7/2020,13:00,28.18,28.45,27.88,61.9,20.18,0,1.26,107,ESE,5.44,0,0,3.9,1,0.78,17.49,16.48,4.15,Logger,Letaba
Letaba,12/7/2020,14:00,28.57,28.67,28.52,60.1,20.07,0,0.36,89,E,3.89,0,0,3.9,1,0.79,17.38,16.38,4.15,Logger,Letaba
Letaba,12/7/2020,15:00,28.35,28.56,28.15,60.2,19.89,0,0.86,97,E,3.92,0,0,3.9,1,0.79,17.19,16.19,4.15,Logger,Letaba
Letaba,12/7/2020,16:00,28.34,28.47,28.14,59.9,19.8,0,0.65,100,E,4.82,0,0,3.9,1,0.79,17.1,16.1,4.15,Logger,Letaba
Letaba,12/7/2020,17:00,28.12,28.34,27.97,57.9,19.05,0,1.48,97,E,6.37,0,0,3.9,1,0.78,16.36,15.37,4.15,Logger,Letaba
Letaba,12/7/2020,18:00,27.23,27.93,26.83,62.6,19.47,0,0.47,78,ENE,4.43,0,0,3.9,1,0.78,16.77,15.74,4.15,Logger,Letaba
Letaba,12/7/2020,19:00,26.25,26.84,25.82,68.2,19.92,0,0,72,ENE,0,0,0,3.9,1,0.77,17.22,16.16,4.15,Logger,Letaba
Letaba,12/7/2020,20:00,24.91,25.73,24.4,74.1,19.98,0,0,72,ENE,0,0,0,3.9,1,0.76,17.28,16.17,4.15,Logger,Letaba
Letaba,12/7/2020,21:00,24.13,24.39,23.89,78.1,20.07,0,0,72,ENE,0,0,0,3.9,1,0.75,17.38,16.25,4.14,Logger,Letaba
Letaba,12/7/2020,22:00,23.47,23.81,23.27,80.8,19.98,0,0.14,111,ESE,1.73,0,0,3.9,1,0.75,17.29,16.14,4.14,Logger,Letaba
Letaba,12/7/2020,23:00,23.88,0,0,77.8,19.77,0,0.97,199,SSW,2.99,0.97,0,3.9,1,0.74,17.07,15.94,4.14,Logger,Letaba
